GS030,Green,EC,7.75 x 5.18 mm,1.39 ct,Unheated,Mada,$245/ct,Case 1A - Trade Show,
GS030,Green,EC,7.75 x 5.18 mm,1.39 ct,Unheated,Mada,$295/ct,Case 1A - Rep,
GS033,YG,EC,7.51 x 6.53,1.23 ct,Unheated,Mada,$300/ct,Case 1A - Wholesale,
GS033,YG,EC,7.51 x 6.53,1.23 ct,Unheated,Mada,$270/ct,Case 1A - Trade Show,
GS033,YG,EC,7.51 x 6.53,1.23 ct,Unheated,Mada,$320/ct,Case 1A - Rep,
GS035,Teal,Oval,9.92 x 8.27 mm,3.36 ct,Heated,Mada,$650/ct,Case 1G - Wholesale,
GS035,Teal,Oval,9.92 x 8.27 mm,3.36 ct,Heated,Mada,$585/ct,Case 1G - Trade Show,
GS035,Teal,Oval,9.92 x 8.27 mm,3.36 ct,Heated,Mada,$700/ct,Case 1G - Rep,
GS036,Teal,Oval,8.58 x 7.76 mm,2.38 ct,Unheated,Mada,$750/ct,Case 1G - Wholesale,
GS036,Teal,Oval,8.58 x 7.76 mm,2.38 ct,Unheated,Mada,$675/ct,Case 1G - Trade Show,
GS036,Teal,Oval,8.58 x 7.76 mm,2.38 ct,Unheated,Mada,$810/ct,Case 1G - Rep,
GS037,Teal,Oval,8.35 x 7.56 mm,2.18 ct,Heated,Mada,$750/ct MEMO,Case 1G - Wholesale,
GS037,Teal,Oval,8.35 x 7.56 mm,2.18 ct,Heated,Mada,$675/ct MEMO,Case 1G - Trade Show,
GS037,Teal,Oval,8.35 x 7.56 mm,2.18 ct,Heated,Mada,$810/ct MEMO,Case 1G - Rep,
GS038,Teal,Oval,8.31 x 6.83 mm,2.24 ct,Heated,Mada,$725/ct MEMO,Case 1G - Wholesale,
GS038,Teal,Oval,8.31 x 6.83 mm,2.24 ct,Heated,Mada,$650/ct MEMO,Case 1G - Trade Show,
GS038,Teal,Oval,8.31 x 6.83 mm,2.24 ct,Heated,Mada,$780/ct MEMO,Case 1G - Rep,
GS039,Teal,Oval,7.80 x 7.22 mm,2.15 ct,Unheated,Mada,$675/ct,Case 1G - Wholesale,
GS039,Teal,Oval,7.80 x 7.22 mm,2.15 ct,Unheated,Mada,$605/ct,Case 1G - Trade Show,
GS039,Teal,Oval,7.80 x 7.22 mm,2.15 ct,Unheated,Mada,$725/ct,Case 1G - Rep,
GS040,Teal,Oval,7.73 x 7.29 mm,2.09 ct,Heated,Mada,$675/ct,Case 1G - Wholesale,
GS040,Teal,Oval,7.73 x 7.29 mm,2.09 ct,Heated,Mada,$605/ct,Case 1G - Trade Show,
GS040,Teal,Oval,7.73 x 7.29 mm,2.09 ct,Heated,Mada,$725/ct,Case 1G - Rep,
GS042,Teal,Oval,6.90 x 6.49,1.48 ct,Heated,Mada,$475/ct,Case 1G - Wholesale,
GS042,Teal,Oval,6.90 x 6.49,1.48 ct,Heated,Mada,$425/ct,Case 1G - Trade Show,
GS042,Teal,Oval,6.90 x 6.49,1.48 ct,Heated,Mada,$510/ct,Case 1G - Rep,
GS043,Teal,Oval,8.18 x 6.07 mm,1.53 ct,Unheated,Mada,$400/ct,Case 1G - Wholesale,
GS043,Teal,Oval,8.18 x 6.07 mm,1.53 ct,Unheated,Mada,$360/ct,Case 1G - Trade Show,
GS043,Teal,Oval,8.18 x 6.07 mm,1.53 ct,Unheated,Mada,$430/ct,Case 1G - Rep,
GS045,Teal,Oval,7.61 x 5.75 mm,1.37 ct,Unheated,Mada,$425/ct,Case 1G - Wholesale,
GS045,Teal,Oval,7.61 x 5.75 mm,1.37 ct,Unheated,Mada,$380/ct,Case 1G - Trade Show,
GS045,Teal,Oval,7.61 x 5.75 mm,1.37 ct,Unheated,Mada,$455/ct,Case 1G - Rep,
GS046,Teal,Oval,7.73 x 5.96 mm,1.54 ct,Unheated,Mada,$475/ct,Case 1G - Wholesale,
GS046,Teal,Oval,7.73 x 5.96 mm,1.54 ct,Unheated,Mada,$425/ct,Case 1G - Trade Show,
GS046,Teal,Oval,7.73 x 5.96 mm,1.54 ct,Unheated,Mada,$510/ct,Case 1G - Rep,
GS051,Teal,Oval,6.83 x 5.39 mm,1.23 ct,Unheated,Mada,$325/ct,Case 1G - Wholesale,
GS051,Teal,Oval,6.83 x 5.39 mm,1.23 ct,Unheated,Mada,$290/ct,Case 1G - Trade Show,
GS051,Teal,Oval,6.83 x 5.39 mm,1.23 ct,Unheated,Mada,$350/ct,Case 1G - Rep,
GS052,Teal,Oval,7.00 x 5.31 mm,1.35 ct,Heated,Tanz,$400/ct,Case 1G - Wholesale,
GS052,Teal,Oval,7.00 x 5.31 mm,1.35 ct,Heated,Tanz,$360/ct,Case 1G - Trade Show,
GS052,Teal,Oval,7.00 x 5.31 mm,1.35 ct,Heated,Tanz,$430/ct,Case 1G - Rep,
GS054,Teal,Oval,6.62 x 5.33 mm,1.08 ct,Unheated,Mada,$300/ct,Case 1G - Wholesale,
GS054,Teal,Oval,6.62 x 5.33 mm,1.08 ct,Unheated,Mada,$270/ct,Case 1G - Trade Show,
GS054,Teal,Oval,6.62 x 5.33 mm,1.08 ct,Unheated,Mada,$320/ct,Case 1G - Rep,
GS055,Teal,Oval,7.26 x 5.11 mm,1.16 ct,Heated,Mada,$400/ct,Case 1G - Wholesale,
GS055,Teal,Oval,7.26 x 5.11 mm,1.16 ct,Heated,Mada,$360/ct,Case 1G - Trade Show,
GS055,Teal,Oval,7.26 x 5.11 mm,1.16 ct,Heated,Mada,$430/ct,Case 1G - Rep,
GS056,Teal,Oval,6.64 x 4.90 mm,1.18 ct,Heated,Tanz,$325/ct,Case 1G - Wholesale,
GS056,Teal,Oval,6.64 x 4.90 mm,1.18 ct,Heated,Tanz,$290/ct,Case 1G - Trade Show,
GS056,Teal,Oval,6.64 x 4.90 mm,1.18 ct,Heated,Tanz,$350/ct,Case 1G - Rep,
GS057,Teal,Oval,6.03 x 4.94 mm,0.89 ct,Unheated,Mada,$270/ct,Case 1H - Trade Show,
GS057,Teal,Oval,6.03 x 4.94 mm,0.89 ct,Unheated,Mada,$320/ct,Case 1H - Rep,
GS058,Teal,Oval,6.11 x 5.13 mm,0.99 ct,Unheated,Mada,$270/ct,Case 1H - Trade Show,
GS058,Teal,Oval,6.11 x 5.13 mm,0.99 ct,Unheated,Mada,$320/ct,Case 1H - Rep,
GS059,Teal,Oval,6.22 x 4.60 mm,0.83 ct,Unheated,Mada,$250/ct,Case 1G - Wholesale,
GS059,Teal,Oval,6.22 x 4.60 mm,0.83 ct,Unheated,Mada,$225/ct,Case 1G - Trade Show,
GS059,Teal,Oval,6.22 x 4.60 mm,0.83 ct,Unheated,Mada,$270/ct,Case 1G - Rep,
GS060,Teal,Oval,6.32 x 4.87 mm,0.78 ct,Unheated,Mada,$280/ct,Case 1G - Wholesale,
GS060,Teal,Oval,6.32 x 4.87 mm,0.78 ct,Unheated,Mada,$250/ct,Case 1G - Trade Show,
GS060,Teal,Oval,6.32 x 4.87 mm,0.78 ct,Unheated,Mada,$300/ct,Case 1G - Rep,
GS061,Teal,Oval,6.22 x 5.04 mm,0.98 ct,Heated,Mada,$255/ct,Case 1G - Trade Show,
GS061,Teal,Oval,6.22 x 5.04 mm,0.98 ct,Heated,Mada,$305/ct,Case 1G - Rep,
GS062,Teal,Oval,6.51 x 5.14 mm,0.89 ct,Heated,Mada,$250/ct,Case 1G - Wholesale,
GS062,Teal,Oval,6.51 x 5.14 mm,0.89 ct,Heated,Mada,$225/ct,Case 1G - Trade Show,
GS062,Teal,Oval,6.51 x 5.14 mm,0.89 ct,Heated,Mada,$270/ct,Case 1G - Rep,
GS063,Teal,Oval,6.18 x 5.02 mm,0.85 ct,Unheated,Madagascar,$275/ct,Case 1H - Wholesale,
GS063,Teal,Oval,6.18 x 5.02 mm,0.85 ct,Unheated,Mada,$245/ct,Case 1H - Trade Show,
GS063,Teal,Oval,6.18 x 5.02 mm,0.85 ct,Unheated,Mada,$295/ct,Case 1H - Rep,
GS064,Teal,Oval,6.48 x 5.03 mm,0.95 ct,Unheated,Mada,$250/ct,Case 1G - Wholesale,
GS064,Teal,Oval,6.48 x 5.03 mm,0.95 ct,Unheated,Mada,$225/ct,Case 1G - Trade Show,
GS064,Teal,Oval,6.48 x 5.03 mm,0.95 ct,Unheated,Mada,$270/ct,Case 1G - Rep,
GS065,Teal,Oval,6.49 x 4.79 mm,0.85 ct,Unheated,Mada,$250/ct,Case 1G - Wholesale,
GS065,Teal,Oval,6.49 x 4.79 mm,0.85 ct,Unheated,Mada,$225/ct,Case 1G - Trade Show,
GS065,Teal,Oval,6.49 x 4.79 mm,0.85 ct,Unheated,Mada,$270/ct,Case 1G - Rep,
GS067,Yellow/Green,Oval,6.17 x 5.02 mm,0.85 ct,Unheated,Madagascar,$250/ct,Case 1H - Wholesale,
GS067,YG,Oval,6.17 x 5.02 mm,0.85 ct,Unheated,Mada,$225/ct,Case 1H - Trade Show,
GS067,YG,Oval,6.17 x 5.02 mm,0.85 ct,Unheated,Mada,$270/ct,Case 1H - Rep,
